seed,batch_label,spearman,nrmse,evals_desde_reinicio_train_fin
15,41-60%,0.18839024299160972,27.711877629400735,8703
15,61-80%,0.3141215938448638,21.34762458737089,13404
16,1-20%,0.34637222115088884,63.62748526551231,2101
16,21-40%,0.1903853216954129,32.49992174595458,5402
16,41-60%,0.20082434819297396,39.633760472040166,10403
16,61-80%,0.545293724947749,27.737893208664406,15254
17,1-20%,0.38477162364686496,151.76454525946113,2801
17,21-40%,0.28070505129220213,25.20893101373129,7402
17,41-60%,0.34036985940679443,18.970553866309746,11853
17,61-80%,0.523795347287814,36.932238158092105,15854
18,1-20%,0.4938646943785878,31.25795598880213,2451
18,21-40%,0.10999967307198695,31.13406920180441,6202
18,41-60%,0.2793810215432409,24.20089142805505,9853
18,61-80%,0.5394824069552964,32.64694058232417,14804
19,1-20%,0.2947428952137158,28.245683121197448,2351
19,21-40%,0.25047597545903905,27.273045472822126,7252
19,41-60%,0.21889787781191516,19.3483089530588,11353
19,61-80%,0.6340151822566074,35.12584296400423,155
20,1-20%,0.47723593688143756,32.815071116281985,1851
20,21-40%,0.23986046572241865,143.3555705544235,5802
20,41-60%,0.12385913929036559,32.90782331221638,10003
20,61-80%,0.5129409248376371,34.96441075780006,14454
21,1-20%,0.3660896554115863,34.66526756498526,2501
21,21-40%,0.3069673063586923,49.52314747714442,7452
21,41-60%,0.3023519191660768,42.44772637457917,11353
21,61-80%,0.4620328825453153,24.452558655919777,15254
22,1-20%,0.42140629042425165,31.83683760232778,2901
22,21-40%,0.297778524679141,38.583937919729976,7502
22,41-60%,0.28132662597306507,32.72733612008812,11303
22,61-80%,0.5092842829633714,19.148703451058182,15154
23,1-20%,0.25148623082744925,78.9761633535379,1901
23,21-40%,0.28890156051606247,34.116059971869596,6552
23,41-60%,0.30366314625852586,26.269486453749124,10403
23,61-80%,0.515017096568684,21.268549239620004,14654
24,1-20%,0.3072098971203959,31.54261761372558,2151
24,21-40%,0.3257476271739051,12.250141167063246,5352
24,41-60%,0.20392757327710298,41.88842241562128,8853
24,61-80%,0.39756237903849523,24.503234634139265,13354
25,1-20%,0.4196726292349052,39.03619467924937,2601
25,21-40%,0.2696120044164802,26.727309596862135,6802
25,41-60%,0.3737658198466328,18.65951679235397,11053
25,61-80%,0.46803372662534914,22.96643512687601,15154
26,1-20%,0.26827205921088243,27.128548075005362,3151
26,21-40%,0.33730105282004214,32.34543876024809,7902
26,41-60%,0.2914751592430064,16.532547798495713,12753
26,61-80%,0.5821864693994588,159.2719828562829,605
27,1-20%,0.2210297648731906,68.39047091369146,2801
27,21-40%,0.2649678872067155,20.968488853805177,7902
27,41-60%,0.39308684445947384,30.843099498808474,12803
27,61-80%,0.48282769700910794,19.93060165095439,1855
28,21-40%,0.48421201908048084,19.66747555718806,2902
28,41-60%,0.3078540991941639,35.727283762409996,7003
28,61-80%,0.19096858795874355,79.874282908237,11204
29,1-20%,-0.03170825234033009,30.30572864658878,751
29,21-40%,0.35141840020073606,34.48041336376558,4452
29,41-60%,0.2957731143589246,49.008860613143106,8853
29,61-80%,0.3890643886185756,18.38410664956458,12754
30,1-20%,0.16948697084347886,22.761798914164032,1551
30,21-40%,0.3545671029826841,38.13407062242701,6202
30,41-60%,0.37159870059194805,33.38180255386921,10403
30,61-80%,0.3219894145115766,19.526549907134708,14154
31,1-20%,-0.8567035299801413,179.04168723242378,2851
31,21-40%,-0.495576921839077,24.71773136374374,22851
31,41-60%,0.6139987576159505,35.08774364205733,553
31,61-80%,0.4441117761644711,45.21280975033628,4354
32,1-20%,0.22671113534044546,43.13398254341684,1901
32,21-40%,0.33050908730036355,54.085744739462896,6102
32,41-60%,0.2795047390521896,43.22807473641349,10603
32,61-80%,0.4698329360413175,19.169929073330607,14354
33,1-20%,0.2657704368708175,24.896800658165887,1201
33,21-40%,0.20098094032723762,25.4101979389998,5352
33,41-60%,0.25945824471432977,38.603486996115244,11053
33,61-80%,0.49398842839953716,37.13385979220194,15854
34,1-20%,0.3944896226275849,34.47850560531848,2301
34,21-40%,0.3336806688032268,20.135939933055,6602
34,41-60%,0.3581418797976752,33.44343640094287,9903
34,61-80%,0.3833391680375668,24.96464269144263,13604
35,1-20%,0.3429405365656215,63.251064385495795,2301
35,21-40%,0.304798125023925,40.01041033477904,6602
35,41-60%,0.29338599832744,22.681345863798878,11103
35,61-80%,0.5473880152395207,35.58156309168701,55
36,1-20%,0.44594593966183765,26.849022604528578,2401
36,21-40%,0.3645550013662001,36.011943400539465,6252
36,41-60%,0.1812175620007025,39.798981714696176,10603
36,61-80%,0.5316524692340989,18.188529013159986,14754
37,1-20%,0.3473238775409552,26.01609476381158,2851
37,21-40%,0.13353453289338132,17.927138367546053,7552
37,41-60%,0.31305652343426094,20.963905722209084,11453
37,61-80%,0.4340032944801318,27.396462948414147,1705
38,1-20%,0.312798823711953,78.69427309513739,551
38,21-40%,0.3245159573966383,34.47832441113602,5902
38,41-60%,0.269792922951717,34.76402554513439,10303
38,61-80%,0.4596217115048685,38.20942711429748,14104
39,1-20%,0.2766066466802659,17.634952798964925,1651
39,21-40%,0.3621912909996517,34.652595636898724,5702
39,41-60%,0.0963319395972776,27.30511398791279,10853
39,61-80%,0.5548997957959919,18.730845906285456,14804
40,1-20%,0.2392526391061056,34.59050568044066,2401
40,21-40%,0.18623217048928686,30.83584720915078,6502
40,41-60%,0.2881038531881541,30.16660948676348,10453
