ok,config_id,algoritmo,funcion,seed,batch_train,kernel,epsilon,smoothing,neighbors,degree,spearman,nrmse,nmae,elapsed_s,warnings,error,n_train,n_val
True,14,shade,f22,1,1,linear,0.01,0.1,50,-1,-0.14110402760069005,0.0018120232366101172,0.0015816625662293056,0.007178625091910362,,,800,200
True,14,shade,f22,1,2,linear,0.01,0.1,50,-1,-0.18160354008850224,0.0037960475621834993,0.0020399629896219445,0.006913542049005628,,,800,200
True,14,shade,f22,1,3,linear,0.01,0.1,50,-1,-0.4346778669466737,0.0019505736718485602,0.0018192790582948666,0.007473457837477326,,,800,200
True,14,shade,f22,1,4,linear,0.01,0.1,50,-1,-0.2803960099002476,0.002125179341530821,0.0020123523453093265,0.007489542011171579,,,800,200
True,15,shade,f22,1,1,linear,0.01,0.1,100,-1,0.002665566639165992,0.0018129504405465507,0.001579666553629689,0.01605779188685119,,,800,200
True,15,shade,f22,1,2,linear,0.01,0.1,100,-1,0.0019650491262281616,0.003830038889222342,0.0020357668348772277,0.015874125063419342,,,800,200
True,15,shade,f22,1,3,linear,0.01,0.1,100,-1,-0.031938798469961754,0.0019528202548264723,0.0018204229943799349,0.016356584150344133,,,800,200
True,15,shade,f22,1,4,linear,0.01,0.1,100,-1,0.1721323033075827,0.002129890483298163,0.002014825649561983,0.016440500039607286,,,800,200
True,16,shade,f22,1,1,linear,0.01,1.0,25,-1,-0.31614490362259057,0.001806486183681967,0.0015777342868803206,0.003439374966546893,,,800,200
True,16,shade,f22,1,2,linear,0.01,1.0,25,-1,-0.4110507762694068,0.00368511136945666,0.002029041153192516,0.0032646670006215572,,,800,200
True,16,shade,f22,1,3,linear,0.01,1.0,25,-1,-0.5249126228155705,0.001934907426181243,0.0018069970795579885,0.0036611249670386314,,,800,200
True,16,shade,f22,1,4,linear,0.01,1.0,25,-1,-0.5247191179779495,0.0020985858911762574,0.0019881471973709013,0.0039036248344928026,,,800,200
True,17,shade,f22,1,1,linear,0.01,1.0,50,-1,-0.1375414385359634,0.0018064141951227163,0.0015775898676590868,0.0069764170330017805,,,800,200
True,17,shade,f22,1,2,linear,0.01,1.0,50,-1,-0.17909847746193658,0.0036940237361891633,0.0020296972775785673,0.006786874961107969,,,800,200
True,17,shade,f22,1,3,linear,0.01,1.0,50,-1,-0.4342263556588915,0.0019356747910890468,0.001807592069484743,0.0073125839699059725,,,800,200
True,17,shade,f22,1,4,linear,0.01,1.0,50,-1,-0.28016950423760595,0.0020997906813732072,0.0019892606284227666,0.0074159998912364244,,,800,200
True,18,shade,f22,1,1,linear,0.01,1.0,100,-1,0.010789769744243612,0.0018062716456885843,0.0015772342858206521,0.016029875027015805,,,800,200
True,18,shade,f22,1,2,linear,0.01,1.0,100,-1,0.007222680567014184,0.003696398366585141,0.002029186974922914,0.01581041608005762,,,800,200
True,18,shade,f22,1,3,linear,0.01,1.0,100,-1,-0.017071926798169948,0.0019357281425817525,0.0018075930838972788,0.016262499848380685,,,800,200
True,18,shade,f22,1,4,linear,0.01,1.0,100,-1,0.17428935723393085,0.0020996761008366597,0.001989145445662564,0.01631620805710554,,,800,200
True,19,shade,f22,1,1,linear,0.1,1e-06,25,-1,0.9209855246381161,0.000691975730120796,0.00044818026124251233,0.003444249974563718,,,800,200
True,19,shade,f22,1,2,linear,0.1,1e-06,25,-1,0.9469076726918173,0.0015878293948211402,0.0004469622270635981,0.003267916850745678,,,800,200
True,19,shade,f22,1,3,linear,0.1,1e-06,25,-1,0.7460841521038027,0.008389611206966843,0.0016789465526360634,0.0036896250676363707,,,800,200
True,19,shade,f22,1,4,linear,0.1,1e-06,25,-1,0.7853416335408386,0.0009179859841946504,0.0003755611219220334,0.0038381670601665974,,,800,200
True,20,shade,f22,1,1,linear,0.1,1e-06,50,-1,0.9303382584564616,0.0006265123298713068,0.0003956888886212489,0.007183291018009186,,,800,200
True,20,shade,f22,1,2,linear,0.1,1e-06,50,-1,0.9547888697217431,0.0006960219243086861,0.000317525272321097,0.006990457884967327,,,800,200
True,20,shade,f22,1,3,linear,0.1,1e-06,50,-1,0.7468866721668043,0.00730196523190146,0.0017404161959776387,0.00746679212898016,,,800,200
True,20,shade,f22,1,4,linear,0.1,1e-06,50,-1,0.810473261831546,0.0007254299587485754,0.0003213094008304098,0.007533625001087785,,,800,200
True,21,shade,f22,1,1,linear,0.1,1e-06,100,-1,0.9327473186829671,0.0006137594609449965,0.0003779284746682796,0.016168667003512383,,,800,200
True,21,shade,f22,1,2,linear,0.1,1e-06,100,-1,0.9524233105827647,0.0030055862497046174,0.0005003280342539583,0.01594120799563825,,,800,200
True,21,shade,f22,1,3,linear,0.1,1e-06,100,-1,0.7245076126903174,0.0068598545725680115,0.0017867920614843386,0.016395292012020946,,,800,200
True,21,shade,f22,1,4,linear,0.1,1e-06,100,-1,0.8336803420085503,0.0006178698115847966,0.00026362316784697617,0.016485958825796843,,,800,200
True,22,shade,f22,1,1,linear,0.1,0.0001,25,-1,0.9119927998199956,0.0007631014123879662,0.0005153236077580269,0.003436958184465766,,,800,200
True,22,shade,f22,1,2,linear,0.1,0.0001,25,-1,0.4995469886747169,0.03303328880324985,0.00769773117746828,0.003267084015533328,,,800,200
True,22,shade,f22,1,3,linear,0.1,0.0001,25,-1,0.7841416035400885,0.001463912071142875,0.0011100902711142463,0.003666750155389309,,,800,200
True,22,shade,f22,1,4,linear,0.1,0.0001,25,-1,0.9031125778144453,0.0030164417997048942,0.00194632101096207,0.0038088331930339336,,,800,200
True,23,shade,f22,1,1,linear,0.1,0.0001,50,-1,0.9248166204155106,0.0006783918090829042,0.00045603451879609356,0.007168458076193929,,,800,200
True,23,shade,f22,1,2,linear,0.1,0.0001,50,-1,0.9528268206705168,0.0011203674113117001,0.0006640360821687428,0.00697245798073709,,,800,200
True,23,shade,f22,1,3,linear,0.1,0.0001,50,-1,0.7868251706292658,0.0015417068418025724,0.0011229787753406176,0.0075022499077022076,,,800,200
True,23,shade,f22,1,4,linear,0.1,0.0001,50,-1,0.801585539638491,0.0012709663216007362,0.0005654481566470755,0.007520457962527871,,,800,200
True,24,shade,f22,1,1,linear,0.1,0.0001,100,-1,0.927515187879697,0.000657922685278328,0.0004313562125753666,0.016123541863635182,,,800,200
True,24,shade,f22,1,2,linear,0.1,0.0001,100,-1,0.944902122553064,0.0030433446255538703,0.0006575975093045372,0.015980750089511275,,,800,200
True,24,shade,f22,1,3,linear,0.1,0.0001,100,-1,0.7829475736893423,0.0019095316185123545,0.0011852205893765802,0.016431791940703988,,,800,200
