ok,config_id,algoritmo,funcion,seed,batch_train,kernel,epsilon,smoothing,neighbors,degree,spearman,nrmse,nmae,elapsed_s,warnings,error,n_train,n_val
True,88,age,f1,1,1,linear,1.0,0.001,50,0,0.9538228455711395,1.1703368187677081,0.22526557875727105,0.006896542152389884,,,800,200
True,89,age,f1,1,1,linear,1.0,0.001,100,-1,0.2882997074926874,34.243755431930765,3.2879937073116876,0.012651124969124794,,,800,200
True,90,age,f1,1,1,linear,1.0,0.001,100,0,0.9451856296407412,1.1695691252681724,0.2246580891942814,0.012848292011767626,,,800,200
True,91,age,f1,1,1,linear,1.0,0.01,25,-1,0.23342533563339085,3.148016155491668,1.4129693488083246,0.003737041028216481,,,800,200
True,92,age,f1,1,1,linear,1.0,0.01,25,0,0.9396744918622967,1.4831234327242842,0.3545792541833682,0.0037065420765429735,,,800,200
True,93,age,f1,1,1,linear,1.0,0.01,50,-1,0.2656251406285157,43.834578357457914,4.17310438859426,0.006896875100210309,,,800,200
True,94,age,f1,1,1,linear,1.0,0.01,50,0,0.9518697967449188,1.4291408286097926,0.3224708977611758,0.007024249993264675,,,800,200
True,95,age,f1,1,1,linear,1.0,0.01,100,-1,0.2692312307807696,11.588469921663672,2.0786333730651605,0.012624374823644757,,,800,200
True,96,age,f1,1,1,linear,1.0,0.01,100,0,0.9432370809270234,1.422425473986692,0.31921603397796744,0.01279116584919393,,,800,200
True,97,age,f1,1,1,linear,1.0,0.1,25,-1,0.04691817295432385,15.204842729728895,3.7183085903922164,0.0037298749666661024,,,800,200
True,98,age,f1,1,1,linear,1.0,0.1,25,0,0.935486387159679,1.8726291460537363,0.5273109271749842,0.003657124936580658,,,800,200
True,99,age,f1,1,1,linear,1.0,0.1,50,-1,0.518102452561314,4.645704886924842,2.2060464046267403,0.006803249940276146,,,800,200
True,100,age,f1,1,1,linear,1.0,0.1,50,0,0.9484737118427963,1.9411588151907182,0.5641727956582173,0.006935999961569905,,,800,200
True,101,age,f1,1,1,linear,1.0,0.1,100,-1,0.16085952148803723,10.451791642810338,3.2256367324601163,0.012530083069577813,,,800,200
True,102,age,f1,1,1,linear,1.0,0.1,100,0,0.9398724968124205,1.9666585981508464,0.5937975180416061,0.012753041926771402,,,800,200
True,103,age,f1,1,1,linear,1.0,1.0,25,-1,0.09842196054901373,2.5260832173203327,1.2426652059170042,0.0037246670108288527,,,800,200
